Frame,Pixel Sum
1.0,235008000.0
2.0,235008000.0
3.0,235007745.0
4.0,235007745.0
5.0,6817915.0
6.0,6536012.0
7.0,6010855.0
8.0,4839886.0
9.0,5103238.0
10.0,5005521.0
11.0,6023238.0
12.0,5619954.0
13.0,6694581.0
14.0,7521617.0
15.0,7405339.0
16.0,8804678.0
17.0,8815973.0
18.0,9213408.0
19.0,9348807.0
20.0,8880739.0
21.0,8620669.0
22.0,9174074.0
23.0,8901820.0
24.0,9403481.0
25.0,9219194.0
26.0,9603576.0
27.0,9330303.0
28.0,9496523.0
29.0,10973339.0
30.0,12775080.0
31.0,12881840.0
32.0,13283597.0
33.0,13622587.0
34.0,14256999.0
35.0,14474348.0
36.0,14832116.0
37.0,15255528.0
38.0,14853746.0
39.0,13069164.0
40.0,12440371.0
41.0,10067567.0
42.0,7940640.0
43.0,6723108.0
44.0,4980690.0
45.0,4447410.0
46.0,3835497.0
47.0,3772722.0
48.0,3149622.0
49.0,3118314.0
50.0,2952057.0
51.0,3021045.0
52.0,2894745.0
53.0,2772704.0
54.0,2441873.0
55.0,3005389.0
56.0,2731756.0
57.0,3175846.0
58.0,2988211.0
59.0,3185678.0
60.0,3170987.0
61.0,3945538.0
62.0,3752885.0
63.0,3670957.0
64.0,3682029.0
65.0,3899996.0
66.0,4041689.0
67.0,3398705.0
68.0,3072291.0
69.0,3297750.0
70.0,3183137.0
71.0,3197063.0
72.0,3287233.0
73.0,3332174.0
74.0,3485828.0
75.0,3646237.0
76.0,3423891.0
77.0,3569335.0
78.0,4221720.0
79.0,4332657.0
80.0,4346681.0
81.0,4489070.0
82.0,4755954.0
83.0,6164450.0
84.0,6141897.0
85.0,8330859.0
86.0,9166202.0
87.0,7864163.0
88.0,8678024.0
89.0,9281608.0
90.0,8141851.0
91.0,8144302.0
92.0,8630202.0
93.0,9077955.0
94.0,8665485.0
95.0,8330056.0
96.0,7419330.0
97.0,6789527.0
98.0,5728026.0
99.0,3118662.0
100.0,2770723.0
101.0,1913266.0
102.0,1040691.0
103.0,1144588.0
104.0,1547649.0
105.0,1492700.0
106.0,1475905.0
107.0,2302415.0
108.0,2278142.0
109.0,1544683.0
110.0,1927670.0
111.0,1598477.0
112.0,1633739.0
113.0,2119534.0
114.0,3270846.0
115.0,3887202.0
116.0,4562884.0
117.0,5215848.0
118.0,6541620.0
119.0,7206213.0
120.0,8006665.0
121.0,8383342.0
122.0,8214007.0
123.0,8196056.0
124.0,7867813.0
125.0,7281168.0
126.0,7332942.0
127.0,6888474.0
128.0,6804852.0
129.0,6158860.0
130.0,6426150.0
131.0,5847232.0
132.0,5581150.0
133.0,5037781.0
134.0,4680172.0
135.0,4696005.0
136.0,4563674.0
137.0,4313067.0
138.0,4082108.0
139.0,4440811.0
140.0,4813718.0
141.0,5091141.0
142.0,4849100.0
143.0,4115676.0
144.0,4503384.0
145.0,4432507.0
146.0,4929365.0
147.0,5417223.0
148.0,6223688.0
149.0,6989400.0
150.0,8087002.0
151.0,9575942.0
152.0,11081983.0
153.0,13958511.0
154.0,14457774.0
155.0,15087706.0
156.0,15612963.0
157.0,15899191.0
158.0,17427777.0
159.0,17111631.0
160.0,16672830.0
161.0,16060291.0
162.0,15185053.0
163.0,14118814.0
164.0,13064585.0
165.0,12730292.0
166.0,12323642.0
167.0,11840670.0
168.0,10932961.0
169.0,13207253.0
170.0,11162316.0
171.0,10709555.0
172.0,10980600.0
173.0,9186352.0
174.0,9387036.0
175.0,8968576.0
176.0,8414142.0
177.0,8552212.0
178.0,8470794.0
179.0,8514990.0
180.0,8994300.0
181.0,9723416.0
182.0,10591070.0
183.0,12582516.0
184.0,13490015.0
185.0,14246606.0
186.0,15247627.0
187.0,16093386.0
188.0,16890622.0
189.0,17358302.0
190.0,18133046.0
191.0,17945185.0
192.0,17689855.0
193.0,17210987.0
194.0,16877077.0
195.0,15928008.0
196.0,15022682.0
197.0,15202692.0
198.0,13580733.0
199.0,12435214.0
200.0,12009325.0
201.0,11689661.0
202.0,11187509.0
203.0,10489678.0
204.0,10178732.0
205.0,10108474.0
206.0,9836574.0
207.0,9641256.0
208.0,8877660.0
209.0,8600929.0
210.0,8453080.0
211.0,8155088.0
212.0,8007985.0
213.0,7917118.0
214.0,7561936.0
215.0,7869945.0
216.0,7611678.0
217.0,7388540.0
218.0,8089094.0
219.0,7914005.0
220.0,8462701.0
221.0,9801661.0
222.0,10243524.0
223.0,10323873.0
224.0,10986039.0
225.0,10801950.0
226.0,11267718.0
227.0,12718515.0
228.0,12984839.0
229.0,14275619.0
230.0,13751307.0
231.0,14215858.0
232.0,14598426.0
233.0,12846477.0
234.0,13233570.0
235.0,14543534.0
236.0,12907586.0
237.0,11034597.0
238.0,10098518.0
239.0,9778280.0
240.0,9470255.0
241.0,9360343.0
242.0,9514753.0
243.0,8975049.0
244.0,8893151.0
245.0,8203180.0
246.0,8048149.0
247.0,7753904.0
248.0,7600202.0
249.0,7592330.0
250.0,7669001.0
251.0,8196575.0
252.0,9597898.0
253.0,9942063.0
254.0,9894947.0
255.0,10422885.0
256.0,11602276.0
257.0,14452961.0
258.0,16261311.0
259.0,15811011.0
260.0,18597480.0
261.0,16847018.0
